step	accuracy
0	0.5356206893920898
1	0.8236835598945618
2	0.887300431728363
3	0.9201810956001282
4	0.9361448884010315
5	0.9473433494567871
6	0.9525851607322693
7	0.9566357135772705
8	0.9625923037528992
9	0.9671193957328796
10	0.9702168107032776
11	0.9683107137680054
12	0.9752203822135925
13	0.9783178567886353
14	0.9790326356887817
