step	loss
0	0.7715333700180054
1	0.20290535688400269
2	0.13866975903511047
3	0.1111789122223854
4	0.09125099331140518
5	0.08439116925001144
6	0.07111024856567383
7	0.06143581494688988
8	0.06485017389059067
9	0.0544465035200119
10	0.050501748919487
11	0.04749332368373871
12	0.04293069615960121
13	0.041122499853372574
14	0.037438519299030304
